[[7, 4, 0], [8, 3, 5], [1, 2, 6]],7425,1135073300
[[4, 1, 7], [0, 8, 5], [3, 2, 6]],5840,586872700
[[7, 6, 1], [4, 5, 2], [8, 0, 3]],5776,574272300
[[0, 3, 6], [2, 5, 4], [8, 1, 7]],75911,354480062300
[[2, 0, 7], [3, 1, 6], [4, 8, 5]],5994,586856700
[[4, 7, 8], [5, 0, 3], [2, 6, 1]],46412,120507532600
[[4, 8, 0], [1, 6, 2], [3, 5, 7]],566,3920500
[[7, 8, 5], [4, 1, 6], [0, 3, 2]],40952,116879433200
[[6, 4, 7], [2, 0, 1], [8, 5, 3]],9530,2831300300
[[1, 8, 3], [6, 4, 0], [7, 5, 2]],958,13292000
[[0, 2, 5], [8, 1, 7], [4, 6, 3]],8063,1352046800
[[1, 4, 5], [8, 2, 3], [6, 7, 0]],8821,1566190400
[[6, 0, 8], [1, 5, 3], [4, 2, 7]],5600,532674200
[[4, 8, 0], [3, 7, 2], [1, 5, 6]],8121,1328365100
[[8, 0, 1], [6, 5, 2], [7, 3, 4]],14763,8598846700
[[0, 8, 3], [7, 2, 5], [1, 6, 4]],7923,1220937800
[[8, 1, 7], [3, 2, 6], [5, 0, 4]],12976,3401876500
[[6, 7, 0], [1, 3, 5], [4, 2, 8]],8352,1385380500
[[1, 7, 5], [4, 0, 3], [8, 6, 2]],23695,33333007300
[[4, 5, 2], [8, 6, 7], [3, 0, 1]],6373,711887400
[[8, 0, 1], [2, 3, 7], [4, 5, 6]],13581,6751081000
[[5, 3, 6], [7, 1, 0], [4, 8, 2]],5664,545985100
[[2, 7, 0], [1, 5, 4], [3, 8, 6]],3424,199502000
[[0, 3, 2], [5, 7, 8], [1, 6, 4]],1463,27296300
[[1, 2, 6], [3, 8, 7], [0, 4, 5]],1420,27185400
[[6, 2, 7], [0, 8, 3], [1, 5, 4]],13618,7063021700
[[1, 7, 3], [5, 8, 0], [6, 4, 2]],14325,7730588300
[[1, 7, 5], [4, 6, 2], [3, 0, 8]],2856,100029000
[[3, 6, 7], [5, 2, 4], [8, 0, 1]],60828,229234329800
[[8, 2, 7], [6, 4, 0], [5, 3, 1]],59903,204107282900
[[3, 5, 8], [4, 6, 0], [1, 2, 7]],2295,61640900
[[3, 6, 7], [8, 2, 4], [1, 0, 5]],30711,35980132900
[[6, 5, 0], [4, 8, 3], [1, 2, 7]],7936,1162420000
[[7, 0, 3], [1, 8, 6], [2, 5, 4]],104166,608746848300
[[4, 8, 7], [0, 6, 2], [1, 5, 3]],5536,1631405800
[[6, 8, 3], [1, 5, 0], [4, 2, 7]],5564,564721700
[[5, 4, 2], [6, 1, 3], [7, 0, 8]],459,4910700
[[5, 6, 1], [8, 4, 0], [3, 7, 2]],5811,977394400
[[3, 1, 8], [0, 5, 7], [2, 4, 6]],2127,84253500
[[6, 8, 1], [0, 7, 3], [5, 2, 4]],13333,6592458600
[[0, 5, 1], [3, 8, 6], [2, 7, 4]],7956,1557343600
[[2, 6, 0], [4, 1, 3], [8, 7, 5]],7934,1354747000
[[1, 2, 4], [5, 7, 0], [6, 8, 3]],1120,16293400
[[2, 7, 1], [4, 6, 8], [5, 0, 3]],60703,254214131800
[[5, 4, 7], [3, 0, 2], [6, 8, 1]],1796,39232600
[[5, 1, 7], [6, 0, 3], [8, 2, 4]],9746,2792386700
[[2, 3, 4], [5, 6, 7], [1, 0, 8]],6037,659379600
[[1, 6, 5], [7, 0, 2], [8, 3, 4]],4465,284801100
[[5, 4, 6], [0, 2, 7], [8, 3, 1]],104759,604769629300
[[4, 3, 1], [8, 6, 5], [2, 7, 0]],3311,142908800
[[5, 7, 1], [8, 6, 2], [3, 4, 0]],8192,1324031100
[[5, 7, 1], [2, 6, 8], [0, 4, 3]],18983,17977201500
